Local Date: Jan 06 2023 Local Time: 16:43:51
Build info: Sep 15 2022 15:14:37 r

INFO    16:44:17:274  11432; agora::media::VideoEngine::SetStreamState: 2 -> 2
WARN    16:44:17:295  19224; Setting a too large audio device delay = (184467491)ms
INFO    16:44:17:495  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
WARN    16:44:17:555  15464; ping host 103.18.47.77
WARN    16:44:17:571  15464; ping host 192.168.10.1
WARN    16:44:18:084  11432; [VPM:Brightness] bright (221).
INFO    16:44:18:226  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:44:18:267  11432; [rs] total: 15619 / 15795 valid: 15619 / 15619
WARN    16:44:18:285  19224; captured signal too small
WARN    16:44:18:285  19224; audio device captured signal too small
WARN    16:44:18:297  19224; Setting a too large audio device delay = (184467492)ms
INFO    16:44:18:386  33400; AgoraRTC::videocapturemodule::VideoCaptureImpl::printFrameLog:frame count 149369,width 640,height 360,ystride:0,type:2
INFO    16:44:18:513  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
WARN    16:44:18:536  19224; captured signal all 0s
WARN    16:44:18:536  19224; audio device captured signal all 0s
INFO    16:44:18:536  19224; Audio statistics signal level: near_in = 0, near_out = 0, encodein = 0
WARN    16:44:18:563  15464; ping host 103.18.47.77
WARN    16:44:18:576  15464; ping host 192.168.10.1
INFO    16:44:19:226  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:44:19:273  11432; Peer count: 1
INFO    16:44:19:273  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:44:19:273  11432; agora::media::VideoEngine::SetStreamState: 2 -> 2
WARN    16:44:19:296  19224; Setting a too large audio device delay = (184467492)ms
INFO    16:44:19:533  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
WARN    16:44:19:569  15464; ping host 103.18.47.77
WARN    16:44:19:579  15464; ping host 192.168.10.1
WARN    16:44:19:692  11432; [VPM:Brightness] bright (221).
INFO    16:44:20:225  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
WARN    16:44:20:285  19224; captured signal too small
WARN    16:44:20:285  19224; audio device captured signal too small
WARN    16:44:20:297  19224; Setting a too large audio device delay = (184467492)ms
INFO    16:44:20:415  11432; gatewayRtt 5(650), linkspeed 86700(20), rssi -53(-70), rxlossrate 0(30), localRxJitter95 24(500), reason 0x0
WARN    16:44:20:571  15464; ping host 103.18.47.77
INFO    16:44:20:577  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
WARN    16:44:20:585  15464; ping host 192.168.10.1
INFO    16:44:20:951  11432; [timeSync] getStableNTP, rtt_w: 34, diffTime: 1672631911016, bootTime: 366349769, currentTs: 1672998260785
INFO    16:44:21:099  11432; before enc coefUniformity=0
INFO    16:44:21:226  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:44:21:274  11432; Peer count: 1
INFO    16:44:21:274  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:44:21:274  11432; agora::media::VideoEngine::SetStreamState: 2 -> 2
WARN    16:44:21:295  19224; Setting a too large audio device delay = (184467491)ms
